Employee_ID,Full_Name,Age,Gender,Department,Job_Title,Education,Hire_Date,Salary,Years_At_Company,Job_Satisfaction,Performance_Rating,Monthly_Hours,Attrition,Region,Payment_Method,Phone,Email
EMP00015,Employee_15,23,female,Engg,vp,High School,16/12/2018,$106489,2,4,1,51,Y,Asia Pacific,Wire Transfer,185-523-7474,employee_15@company.com
EMP00016,Employee_16,42,FEMALE,engineering,INT,Masters,21/01/2014,"58,345",5,5,5,60,No,asia pacific,Direct Deposit,572-637-9213,employee_16@company.com
EMP00017,Employee_17,22,Female,Legal,Assoc,High School,2017-02-25,85500,2,2,4,73,N,Latin America,cash,(662) 521-9814,employee_17@company.com
EMP00018,Employee_18,44,F,I.T,,MASTER,2013/01/02,"40,846",8,1,1,67,Left,Mid East,Wire Transfer,882 563 7193,employee_18@company.com
EMP00019,Employee_19,50,fm,it,V.P,HighSchool,2011-08-05,31.6k,10,3,1,48,Left,Latin America,wire transfer,(494) 258-1276,employee_19@company.com
EMP00020,Employee_20,,M,OPERATIONS,consultant,BACHELOR,2017/06/19,76.3k,7,3,5,65,No,LATAM,wire transfer,(638) 618-9132,employee_20@company.com
EMP00021,Employee_21,22,Male,I.T,Lead,High School,08-Oct-2019,$59162,3,2,5,50,N,middle east,CASH,694-984-7119,employee_21@company.com
EMP00022,Employee_22,41,male,Engg,Associate,MASTER,06-Feb-2011,"93,237",21,1,3,55,no,North America,Wire Transfer,441.314.2148,employee_22@company.com
EMP00023,Employee_23,53,M,ENGINEERING,assoc,,15/01/2017,98.1k,23,5,5,69,Yes,LATAM,CHK,483 236 8634,employee_23@company.com
EMP00024,Employee_24,32,fmale,Legal,Assoc,,19-May-2021,86.0k,19,2,1,53,Y,asia pacific,CHK,448-370-6401,employee_24@company.com
EMP00025,Employee_25,42,Female,H.R,V.P,PHD,09-22-2014,85.4k,14,4,5,40,yes,LATAM,Cash,,employee_25@company.com
EMP00026,Employee_26,45,M,Sales,intern,Master,2013-02-28,"25,000",4,5,3,57,no,North America,check,570-361-9702,employee_26@company.com
EMP00027,Employee_27,47,Female,ENGINEERING,DIR,Masters,2021-01-30,$76113,6,4,2,60,Stayed,Apac,Wire Transfer,550 869 8659,employee_27@company.com
EMP00028,Employee_28,48,Male,H.R,Associate,Bachelor,11-10-2022,86572,7,4,4,43,Yes,EUR,CHK,(484) 159-7161,employee_28@company.com
EMP00029,Employee_29,36,M,MARKETING,Sr Manager,,28-Mar-2010,,6,5,1,47,YES,north america,Wire,176.216.2794,
EMP00030,Employee_30,35,Female,legal,Consult,High School,27-Nov-2019,65.2k,7,4,,78,Stayed,asia pacific,check,408 909 7534,
EMP00031,Employee_31,23,Male,Operations,ANALYST,Associate,31-Mar-2018,38.9k,3,3,4,49,NO,asia pacific,CHK,(300) 406-3497,employee_31@company.com
EMP00032,Employee_32,57,M,Legal,analyst,HighSchool,2016/12/29,90.7k,0,5,5,66,N,EUR,DD,922-800-9958,employee_32@company.com
EMP00033,Employee_33,27,female,LEGAL,manager,PHD,2013-10-15,"41,100",21,,5,73,Yes,EUR,Direct Deposit,776-496-6655,employee_33@company.com
EMP00034,Employee_34,41,FEMALE,Operations,Assoc,HighSchool,11/07/2019,"45,178",4,3,2,78,yes,NA,CHK,(905) 587-1006,employee_34@company.com
EMP00035,Employee_35,29,F,finance,Manager,BACHELOR,08-Aug-2015,"53,399",10,2,5,51,Yes,N. America,,,employee_35@company.com
EMP00036,Employee_36,59,fmale,engineering,consultant,associate,2023-10-08,"121,235",3,1,4,79,No,Apac,,918 332 6504,employee_36@company.com
EMP00037,Employee_37,38,F,HR,INT,BACHELOR,07-Feb-2019,90.1k,1,2,3,63,Stayed,Mid East,CHK,298.222.4949,employee_37@company.com
EMP00038,Employee_38,24,fmale,Ops,Senior Manager,Assoc Degree,2023-05-05,105315,16,5,2,74,yes,Middle East,cash,853.197.8157,employee_38@company.com
EMP00039,Employee_39,45,M,HR,Sr Manager,associate,08-Oct-2013,25.0k,24,2,4,,YES,ME,wire transfer,(906) 357-9568,employee_39@company.com
EMP00040,Employee_40,34,male,Legal,Lead,Master,2012-08-02,$33268,11,1,3,68,Y,NA,Wire Transfer,981.615.2311,employee_40@company.com
EMP00041,Employee_41,29,Male,IT,DIR,Bachelor,2021-04-03,98.5k,1,4,4,59,Stayed,North America,,990-703-2684,employee_41@company.com
EMP00042,Employee_42,46,Male,SALES,Associate,Bachelor,12-20-2016,$25000,8,5,5,46,no,europe,wire transfer,937 622 4054,employee_42@company.com
EMP00043,Employee_43,22,Male,OPERATIONS,Senior Manager,master,04-13-2016,"48,208",5,3,4,79,Left,LATAM,CASH,(846) 384-7414,employee_43@company.com
EMP00044,Employee_44,40,FEMALE,Hr,MGR,MASTER,16/03/2013,"116,384",5,3,2,49,no,latin america,CHK,912 956 4475,employee_44@company.com
EMP00045,Employee_45,48,MALE,LEGAL,Sr Manager,HighSchool,08-21-2019,"40,913",17,2,4,77,yes,asia pacific,,773.342.7528,employee_45@company.com
EMP00046,Employee_46,27,female,LEGAL,Director,MASTER,2018/10/11,25.0k,21,3,1,58,YES,Apac,wire transfer,723.686.5066,employee_46@company.com
EMP00047,Employee_47,28,M,Marketing,vp,High School,2022/07/24,66187,2,1,5,43,No,NA,cash,797-101-6315,employee_47@company.com
EMP00048,Employee_48,55,female,FINANCE,director,HS,03-03-2013,25.0k,14,3,4,74,NO,latin america,wire transfer,(284) 644-3515,employee_48@company.com
EMP00049,Employee_49,34,FEMALE,Engg,Analyst,High School,10-22-2018,"95,931",6,2,3,54,NO,Latin America,Wire,768-154-6109,employee_49@company.com
EMP00050,Employee_50,37,Female,finance,Director,PHD,07-19-2019,$42629,,3,5,59,yes,ME,Check,781.381.9874,employee_50@company.com
EMP00051,Employee_51,56,male,Operations,Intern,master,08-20-2015,"37,619",9,4,3,58,Left,N. America,Wire,(515) 564-3152,employee_51@company.com
EMP00052,Employee_52,60,Female,sales,Associate,,27/01/2023,65.7k,3,4,2,60,Stayed,,Check,952-856-5201,employee_52@company.com
EMP00053,Employee_53,24,M,,VP,P.H.D,2010-04-01,$54889,15,,1,48,YES,LATAM,check,(962) 271-6474,employee_53@company.com
EMP00054,Employee_54,22,Male,IT,Analyst,Master,11-Sep-2013,$71309,8,5,4,,Left,Middle East,DD,441-320-8897,employee_54@company.com
EMP00055,Employee_55,26,F,engineering,Manager,P.H.D,2021/04/01,78038,20,3,5,63,N,North America,CASH,745.216.3019,employee_55@company.com
EMP00056,Employee_56,24,male,Operations,analyst,,2014-11-02,"59,568",9,4,4,42,yes,Middle East,Wire Transfer,598-529-9762,employee_56@company.com
EMP00057,Employee_57,49,M,legal,Snr Analyst,phd,10-Jan-2011,36.0k,18,4,4,51,NO,Europe,Wire Transfer,511-702-4446,employee_57@company.com
EMP00058,Employee_58,38,fmale,I.T,Lead,P.H.D,04-30-2013,83263,16,1,5,77,No,Mid East,DD,351.421.7081,employee_58@company.com
EMP00059,Employee_59,46,Female,HR,Intern,High School,30-Mar-2020,$47665,0,2,1,56,Y,north america,wire transfer,550-413-8770,employee_59@company.com
EMP00060,Employee_60,54,fmale,Operations,DIR,Bachelors,2020-06-10,43.3k,,1,1,52,N,North America,direct deposit,612.178.1081,employee_60@company.com
EMP00061,Employee_61,30,MALE,LEGAL,Snr Analyst,Master,2017/03/04,68567,3,5,2,61,No,Latin America,direct deposit,,employee_61@company.com
EMP00062,Employee_62,56,FEMALE,OPERATIONS,Associate,associate,2018/04/20,"25,000",14,2,5,36,yes,North America,DD,594-274-1955,employee_62@company.com
EMP00063,Employee_63,34,Male,sales,intern,PHD,12-25-2013,$74772,9,3,,35,YES,N. America,DD,(974) 748-8896,employee_63@company.com
EMP00064,Employee_64,51,FEMALE,Sales,director,phd,2018-08-31,69894,19,3,3,75,yes,North America,CHK,697.857.6952,employee_64@company.com
EMP00065,Employee_65,35,FEMALE,Hr,Snr Analyst,BACHELOR,2010/08/21,,8,5,3,42,Left,,CASH,498.553.4710,
EMP00066,Employee_66,28,Male,,ANALYST,PHD,2014-08-19,"52,490",7,4,3,55,Yes,North America,Check,,employee_66@company.com
EMP00067,Employee_67,34,Male,HR,V.P,phd,2013-10-04,$98121,19,3,1,58,Left,north america,cash,635-784-3912,employee_67@company.com
EMP00068,Employee_68,,Female,Ops,DIR,PhD,28/04/2014,78241,5,1,2,,Left,asia pacific,DD,118.261.2678,employee_68@company.com
EMP00069,Employee_69,60,F,finance,ANALYST,High School,2010/02/06,64.3k,22,4,2,78,Yes,Asia Pacific,Cash,289.966.3676,employee_69@company.com
EMP00070,Employee_70,41,Female,SALES,DIR,High School,09-23-2020,"110,417",9,3,4,72,Y,ME,Wire,737 896 3542,employee_70@company.com
EMP00071,Employee_71,36,,sales,Senior Analyst,,06-08-2015,$67380,23,4,2,62,Y,EUR,Wire Transfer,(824) 555-6106,employee_71@company.com
EMP00072,Employee_72,38,M,OPERATIONS,MGR,high school,2021/06/01,"52,041",19,2,3,68,N,N. America,Wire Transfer,,employee_72@company.com
EMP00073,Employee_73,44,F,legal,vp,PhD,01-25-2020,"68,096",16,3,5,46,yes,asia pacific,DD,557 955 4034,employee_73@company.com
EMP00074,Employee_74,46,Male,HR,Analyst,Associate,2015/12/19,51526,4,3,4,39,Stayed,APAC,cash,618.479.2999,employee_74@company.com
EMP00075,Employee_75,45,FEMALE,finance,lead,P.H.D,2020-02-13,74.3k,13,4,1,79,Stayed,North America,direct deposit,(279) 569-3611,employee_75@company.com
EMP00076,Employee_76,61,F,LEGAL,ANALYST,,12/06/2015,98.0k,16,2,2,70,Yes,europe,Direct Deposit,896-214-9199,employee_76@company.com
EMP00077,Employee_77,49,Male,,Associate,MASTER,2021/10/15,"64,800",10,1,5,42,no,Latin America,check,203.708.2704,
EMP00078,Employee_78,35,male,Operations,lead,Master,04-06-2022,"67,253",3,2,3,64,Yes,NA,check,329-131-2366,employee_78@company.com
EMP00079,Employee_79,21,F,Hr,lead,Assoc Degree,28-Jan-2018,$84946,22,1,1,44,YES,Middle East,Wire,754.300.3565,employee_79@company.com
EMP00080,Employee_80,45,fm,engineering,Senior Manager,bachelor,14/07/2021,$94681,22,5,1,55,Stayed,North America,Wire,,employee_80@company.com
EMP00081,Employee_81,27,female,FINANCE,manager,,2016-11-03,$53684,16,2,2,68,no,LATAM,Direct Deposit,260.929.4681,employee_81@company.com
EMP00082,Employee_82,29,fm,HR,Intern,P.H.D,2018/05/22,$69308,24,1,5,68,NO,ME,cash,(630) 299-8054,employee_82@company.com
EMP00083,Employee_83,44,female,it,Senior Manager,PhD,06/01/2022,$85057,1,4,3,38,NO,middle east,check,237.401.7269,employee_83@company.com
EMP00084,Employee_84,21,fmale,Operations,Associate,BACHELOR,13-May-2022,73.2k,20,1,3,45,NO,NA,check,(284) 697-5474,employee_84@company.com
EMP00085,Employee_85,28,F,OPERATIONS,DIR,phd,2022-08-12,"25,000",21,5,3,56,Stayed,asia pacific,Wire,(894) 690-9624,employee_85@company.com
EMP00086,Employee_86,44,Female,Operations,director,master,06-Oct-2017,"89,568",0,1,3,75,Left,middle east,wire transfer,(722) 722-7133,employee_86@company.com
EMP00087,Employee_87,31,F,SALES,Director,Bachelor,09-Dec-2020,78072,17,2,2,57,Left,North America,wire transfer,652-373-5212,employee_87@company.com
EMP00088,Employee_88,37,FEMALE,,ANALYST,Associate,2016-07-17,79.8k,6,1,2,68,no,latin america,Direct Deposit,(682) 676-4481,employee_88@company.com
EMP00089,Employee_89,28,FEMALE,FINANCE,Consultant,PHD,2022-02-23,35.2k,21,2,5,64,NO,APAC,cash,(595) 987-4165,employee_89@company.com
EMP00090,Employee_90,55,Female,sales,ANALYST,Bachelor,25-Jan-2014,68.8k,5,5,4,59,Y,LATAM,CHK,101.133.5080,employee_90@company.com
EMP00091,Employee_91,55,female,it,,high school,2012/06/23,"86,084",5,1,2,58,Yes,NA,cash,(880) 294-9336,employee_91@company.com
EMP00092,Employee_92,53,F,Marketing,V.P,Assoc Degree,2016-10-18,$42985,13,1,3,59,Stayed,Middle East,DD,300.800.8358,employee_92@company.com
EMP00093,Employee_93,25,fm,MARKETING,director,bachelor,10/07/2014,"49,486",22,5,5,64,NO,europe,wire transfer,(471) 469-5564,employee_93@company.com
EMP00094,Employee_94,59,MALE,SALES,DIR,PHD,07-23-2011,$86512,11,1,3,73,Y,Apac,CHK,242-240-2571,employee_94@company.com
EMP00095,Employee_95,61,female,Marketing,manager,MASTER,26/08/2010,48322,,2,2,78,Stayed,North America,wire transfer,,
EMP00096,Employee_96,48,MALE,ENGINEERING,Senior Manager,PHD,09-07-2010,59.8k,13,3,5,50,N,Mid East,Check,511.979.1551,employee_96@company.com
EMP00097,Employee_97,27,fm,Mktg,Sr Manager,master,09/09/2015,39135,11,3,3,44,yes,ME,wire transfer,,employee_97@company.com
EMP00098,Employee_98,29,MALE,HR,Lead,bachelor,2020-04-09,$110498,8,2,4,65,Y,north america,Wire,347.743.6624,employee_98@company.com
EMP00099,Employee_99,28,fmale,sales,analyst,High School,2015-11-25,"78,016",8,1,1,45,Stayed,middle east,Check,798-184-1614,employee_99@company.com
EMP00100,Employee_100,32,M,IT,,phd,2020/01/28,"58,615",1,2,1,43,YES,latin america,CHK,829-925-2242,employee_100@company.com
EMP00101,Employee_101,,FEMALE,FINANCE,Consultant,phd,,"53,941",17,5,3,70,YES,Asia Pacific,direct deposit,953.594.3979,employee_101@company.com
EMP00102,Employee_102,53,FEMALE,I.T,Analyst,Masters,16/09/2020,34.3k,4,2,1,53,No,,Wire Transfer,688.261.2574,employee_102@company.com
EMP00103,Employee_103,43,fm,Ops,Manager,Bachelors,2010/10/10,"62,247",22,3,4,39,,europe,cash,798 393 3911,employee_103@company.com
EMP00104,Employee_104,44,fm,legal,,Assoc Degree,02/10/2018,"81,626",11,4,4,46,NO,North America,wire transfer,664 190 1068,employee_104@company.com
EMP00105,Employee_105,57,Male,SALES,consultant,Associate,,44.8k,13,5,3,44,no,Mid East,CHK,(403) 410-9736,employee_105@company.com
EMP00106,Employee_106,55,fm,Sales,V.P,master,11-Jul-2013,$67639,12,1,4,48,NO,Apac,Direct Deposit,229 199 5937,employee_106@company.com
EMP00107,Employee_107,60,MALE,Engineering,Analyst,Bachelor,12/10/2019,$55815,2,2,1,54,NO,Asia Pacific,DD,716-628-3180,employee_107@company.com
EMP00108,Employee_108,42,female,MARKETING,DIR,Associate,14/03/2016,99.5k,14,5,3,54,Yes,middle east,Check,711 838 8890,employee_108@company.com
EMP00109,Employee_109,47,female,it,Senior Analyst,master,2013/05/11,"49,083",14,3,1,78,YES,Middle East,Check,(372) 883-4227,employee_109@company.com
EMP00110,Employee_110,55,female,Marketing,assoc,Associate,2014/04/08,84.4k,2,1,4,70,,North America,direct deposit,(630) 920-6478,employee_110@company.com
EMP00111,Employee_111,21,FEMALE,H.R,Consultant,P.H.D,2012-08-11,"99,851",19,2,4,59,no,Asia Pacific,check,(830) 672-5296,employee_111@company.com
EMP00112,Employee_112,55,FEMALE,Engineering,vp,Assoc Degree,2013/07/16,55.6k,18,2,5,75,No,middle east,Wire,973.771.1327,employee_112@company.com
EMP00113,Employee_113,57,female,finance,Snr Analyst,bachelor,06-21-2019,"50,286",14,1,2,39,N,middle east,CHK,592.565.8129,employee_113@company.com
EMP00114,Employee_114,34,male,OPERATIONS,INT,HighSchool,,88.1k,18,4,2,75,yes,NA,CHK,660.213.7391,employee_114@company.com
EMP00115,Employee_115,23,F,MARKETING,Associate,P.H.D,12-21-2010,25000,7,4,3,61,NO,APAC,direct deposit,,employee_115@company.com
EMP00116,Employee_116,21,M,FINANCE,ANALYST,Associate,2017/06/07,"75,765",22,5,1,36,NO,LATAM,DD,701.760.4565,
EMP00117,Employee_117,25,fm,HR,INT,PHD,2014-10-19,"25,617",12,2,2,46,N,NA,Wire,909-311-5054,employee_117@company.com
EMP00118,Employee_118,46,F,I.T,consultant,bachelor,02-13-2017,95.6k,22,5,3,62,NO,Asia Pacific,CHK,545.890.2994,employee_118@company.com
EMP00119,Employee_119,34,male,Hr,Consultant,HighSchool,09-21-2022,$58698,9,1,4,78,NO,,Check,251-226-9634,employee_119@company.com
EMP00120,Employee_120,59,Female,Engineering,lead,HighSchool,2019/02/27,62.7k,1,5,2,47,Y,APAC,Check,717.507.6601,employee_120@company.com
EMP00121,Employee_121,47,FEMALE,SALES,intern,high school,2022-03-07,46.9k,10,2,1,55,YES,LATAM,CASH,790-372-7597,employee_121@company.com
EMP00122,Employee_122,29,M,LEGAL,analyst,PhD,2010-10-22,$25432,24,4,5,77,No,Latin America,Check,782 949 8278,employee_122@company.com
EMP00123,Employee_123,35,male,Operations,Sr Manager,bachelor,,"96,647",21,4,5,42,YES,Asia Pacific,DD,765-600-5686,employee_123@company.com
EMP00124,Employee_124,35,M,it,vp,Bachelor,2015-01-08,$60724,18,1,2,46,N,north america,cash,(910) 743-2212,employee_124@company.com
EMP00125,Employee_125,,,MARKETING,assoc,PHD,2019/06/01,145219,8,3,5,75,Stayed,latin america,wire transfer,499 155 6532,employee_125@company.com
EMP00126,Employee_126,33,male,I.T,Intern,PHD,2022-09-02,$44745,8,5,3,,YES,N. America,Wire,647 853 4169,employee_126@company.com
EMP00127,Employee_127,,male,Marketing,VP,HighSchool,06/03/2019,48.8k,5,1,1,45,Y,N. America,Check,725.159.4504,employee_127@company.com
EMP00128,Employee_128,59,F,Mktg,VP,HS,2020-04-24,,9,4,4,53,,North America,DD,583-921-8382,employee_128@company.com
EMP00129,Employee_129,52,FEMALE,HR,VP,master,2019-03-30,$60596,21,2,1,42,Stayed,NA,Wire Transfer,(877) 599-6460,employee_129@company.com
EMP00130,Employee_130,24,FEMALE,I.T,Sr Manager,HS,06/03/2013,104380,23,2,4,61,No,EUR,Check,(444) 554-7439,employee_130@company.com
EMP00131,Employee_131,50,,legal,Intern,Master,08/12/2022,"90,253",7,3,5,41,No,middle east,direct deposit,520-896-2351,employee_131@company.com
EMP00132,Employee_132,57,female,Engg,lead,associate,24/10/2018,,14,3,3,55,Stayed,Middle East,Direct Deposit,(159) 196-4010,employee_132@company.com
EMP00133,Employee_133,43,M,engineering,assoc,Bachelors,2022/10/17,95103,5,4,4,61,Yes,asia pacific,Direct Deposit,(670) 682-1441,employee_133@company.com
EMP00134,Employee_134,NULL,fmale,Ops,ANALYST,PHD,30-Apr-2022,82070,6,3,5,48,YES,europe,CASH,419 810 6261,employee_134@company.com
EMP00135,Employee_135,N/A,F,HR,DIR,Masters,2010/03/19,77.0k,19,3,4,66,Left,latin america,Check,,employee_135@company.com
EMP00136,Employee_136,49,fmale,MARKETING,intern,master,,"47,894",16,,2,63,YES,,Wire Transfer,,employee_136@company.com
EMP00137,Employee_137,56,F,SALES,consultant,HighSchool,2011/01/05,49.8k,3,5,1,58,Y,APAC,DD,(919) 201-3571,employee_137@company.com
EMP00138,Employee_138,33,F,ENGINEERING,Lead,associate,12-11-2013,68427,7,2,3,62,no,N. America,cash,166.256.2042,employee_138@company.com
EMP00139,Employee_139,52,Male,MARKETING,Sr Manager,HS,2019/07/03,"51,171",12,2,5,58,no,APAC,wire transfer,428 736 4196,employee_139@company.com
EMP00140,Employee_140,27,F,Mktg,consultant,HS,2023/04/28,"97,816",23,4,3,36,Stayed,latin america,wire transfer,(108) 231-9547,employee_140@company.com
EMP00141,Employee_141,42,FEMALE,legal,assoc,HS,19/10/2020,50.1k,13,4,1,65,No,asia pacific,cash,(725) 131-4996,employee_141@company.com
EMP00142,Employee_142,48,male,Hr,Consultant,PHD,2021-08-02,25000,17,5,4,46,NO,N. America,direct deposit,(102) 167-5703,employee_142@company.com
EMP00143,Employee_143,22,fmale,LEGAL,analyst,PhD,09/03/2020,"32,464",22,1,4,35,Left,,direct deposit,948 462 3480,employee_143@company.com
EMP00144,Employee_144,26,female,Sales,Associate,phd,2023/01/24,"34,051",16,3,3,55,Y,N. America,direct deposit,500.607.4916,employee_144@company.com
EMP00145,Employee_145,48,F,sales,MGR,Masters,03-22-2020,"58,416",17,3,4,63,no,,wire transfer,985 236 1094,employee_145@company.com
EMP00146,Employee_146,48,FEMALE,IT,Associate,master,06-05-2013,70402,13,2,4,64,Yes,Mid East,direct deposit,(656) 167-3592,employee_146@company.com
EMP00147,Employee_147,40,F,HR,Senior Manager,PHD,06-16-2015,,23,2,4,76,Stayed,north america,cash,618.589.2483,employee_147@company.com
EMP00148,Employee_148,50,male,legal,assoc,PHD,31/01/2016,76.5k,10,5,2,35,No,LATAM,Check,176 764 7596,employee_148@company.com
EMP00149,Employee_149,31,fm,MARKETING,INT,HighSchool,12-Sep-2020,58693,9,3,5,56,YES,Apac,cash,763.269.8296,employee_149@company.com
EMP00150,Employee_150,48,M,MARKETING,analyst,bachelor,19-Oct-2021,59577,12,2,5,76,N,Latin America,Check,402.552.8556,employee_150@company.com
EMP00151,Employee_151,45,male,FINANCE,V.P,HighSchool,2011-08-22,$108796,19,2,1,42,yes,APAC,Direct Deposit,842.101.3561,employee_151@company.com
EMP00152,Employee_152,59,female,Finance,MGR,HS,22/11/2019,$95134,15,4,4,47,no,Latin America,Wire Transfer,(687) 904-6803,employee_152@company.com
EMP00153,Employee_153,53,F,Engg,Sr Manager,High School,,75208,13,1,3,48,yes,Latin America,wire transfer,554-230-2651,employee_153@company.com
EMP00154,Employee_154,21,Female,Operations,DIR,Master,04-05-2021,87917,2,5,4,76,no,Mid East,Wire,386.988.1405,
EMP00155,Employee_155,47,F,FINANCE,consultant,Associate,06/01/2016,"25,000",17,1,1,35,No,latin america,Wire Transfer,522 657 6993,employee_155@company.com
EMP00156,Employee_156,33,FEMALE,Engg,DIR,bachelor,2018/03/24,"44,437",5,1,4,66,YES,latin america,cash,447-765-7056,employee_156@company.com
EMP00157,Employee_157,61,MALE,H.R,Senior Manager,HS,2011/10/24,$54195,19,5,2,72,No,NA,Check,839.570.8120,employee_157@company.com
EMP00158,Employee_158,23,Male,Marketing,Director,Assoc Degree,28/04/2021,44.7k,2,3,1,46,YES,latin america,Wire Transfer,128-991-5051,employee_158@company.com
EMP00159,Employee_159,59,F,Hr,MGR,High School,02-Jul-2014,26357,18,2,5,79,Y,asia pacific,Check,(581) 341-1723,employee_159@company.com
EMP00160,Employee_160,26,MALE,sales,Analyst,High School,11-Oct-2022,75.5k,2,5,5,50,N,Europe,Wire,944.909.4927,employee_160@company.com
EMP00161,Employee_161,28,fmale,OPERATIONS,Consultant,HS,11-Feb-2010,99644,11,2,2,58,YES,LATAM,wire transfer,176.149.1217,employee_161@company.com
EMP00162,Employee_162,47,fm,Legal,Consult,Bachelors,25-Dec-2012,"64,680",7,4,5,78,N,Middle East,,295 249 8463,employee_162@company.com
EMP00163,Employee_163,29,Male,Mktg,ANALYST,MASTER,06-Dec-2012,81205,24,1,2,54,no,APAC,CASH,623.122.7798,employee_163@company.com
EMP00164,Employee_164,57,male,Operations,lead,high school,20/12/2016,63.9k,24,4,5,77,YES,APAC,DD,934 341 4010,employee_164@company.com
EMP00165,Employee_165,53,F,SALES,director,PHD,,"53,959",4,1,5,78,YES,EUR,wire transfer,927.734.4019,employee_165@company.com
EMP00166,Employee_166,44,F,Engineering,assoc,P.H.D,2013-12-14,88.0k,16,3,4,66,YES,Asia Pacific,Wire,(293) 683-2237,employee_166@company.com
EMP00167,Employee_167,35,MALE,it,Assoc,high school,04-01-2011,29295,9,5,1,61,N,asia pacific,,770.118.8556,employee_167@company.com
EMP00168,Employee_168,52,fmale,Finance,Manager,High School,28-Sep-2023,25.0k,20,,5,68,YES,latin america,Wire Transfer,(579) 934-3637,employee_168@company.com
EMP00169,Employee_169,52,male,I.T,consultant,associate,18-Aug-2013,$28943,16,1,1,56,NO,latin america,Wire Transfer,,employee_169@company.com
EMP00170,Employee_170,44,male,OPERATIONS,Assoc,bachelor,15-Mar-2015,,8,4,1,37,Left,EUR,DD,685-828-4368,employee_170@company.com
EMP00171,Employee_171,61,F,Hr,DIR,Bachelor,05/05/2017,$67180,12,1,5,51,no,APAC,Wire,834-827-6133,employee_171@company.com
EMP00172,Employee_172,32,FEMALE,Operations,Intern,MASTER,06/11/2014,74.4k,,3,1,48,NO,N. America,direct deposit,,employee_172@company.com
EMP00173,Employee_173,59,MALE,H.R,Manager,Bachelors,07-19-2010,$106923,7,3,2,61,yes,APAC,Cash,949.729.9019,employee_173@company.com
EMP00174,Employee_174,22,Male,Mktg,MGR,Master,09/03/2019,"35,917",6,4,3,73,Yes,EUR,Check,(435) 364-4557,employee_174@company.com
EMP00175,Employee_175,23,M,finance,Snr Analyst,P.H.D,03-29-2016,$95104,1,4,2,54,Left,Middle East,Cash,(870) 566-3385,employee_175@company.com
EMP00176,Employee_176,57,fmale,LEGAL,Intern,Master,14/07/2022,$55092,1,3,5,65,Y,EUR,check,411 533 9301,employee_176@company.com
EMP00177,Employee_177,37,M,it,intern,P.H.D,2012/07/22,"51,291",3,1,2,75,yes,north america,Cash,468.474.5495,employee_177@company.com
EMP00178,Employee_178,22,male,Operations,Director,HS,13-Feb-2023,67.0k,8,1,3,65,Stayed,Apac,wire transfer,917 547 9143,employee_178@company.com
EMP00179,Employee_179,22,MALE,Sales,assoc,Master,27-Oct-2013,"70,943",24,5,2,63,Y,europe,Direct Deposit,597.620.5103,employee_179@company.com
